Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),GDP ($ per capita),Literacy (%),Agriculture,Industry,Service,Latitude,Longitude,Phones (per 1000)
Uruguay,LATIN AMER. & CARIB    ,3431932,176220,19.5,12800,98,0.09,0.31,0.6,-32.522779,-55.765835,3.60
Uzbekistan,C.W. OF IND. STATES ,27307134,447400,61,1700,99.3,0.34,0.23,0.43,41.377491,64.585262,259.90
Vanuatu,OCEANIA                            ,208869,12200,17.1,2900,53,0.26,0.12,0.62,-15.376706,166.959158,475.30
Venezuela,LATIN AMER. & CARIB    ,25730435,912050,28.2,4800,93.4,0.04,0.42,0.54,6.42375,-66.58973,543.50
Vietnam,ASIA (EX. NEAR EAST)         ,84402966,329560,256.1,2500,90.3,0.21,0.41,0.38,14.058324,108.277199,898.00
Virgin Islands,LATIN AMER. & CARIB    ,108605,1910,56.9,17200,,0.01,0.19,0.8,18.335765,-64.896335,291.40
Wallis and Futuna,OCEANIA                            ,16025,274,58.5,3700,50,,,,-13.768752,-177.156097,62.90
Yemen,NEAR EAST                          ,21456188,527970,40.6,800,50.2,0.14,0.47,0.39,15.552727,48.516388,32.60
Zambia,SUB-SAHARAN AFRICA                 ,11502010,752614,15.3,800,80.6,0.22,0.29,0.49,-13.133897,27.849332,140.10
Zimbabwe,SUB-SAHARAN AFRICA                 ,12236805,390580,31.3,1900,90.7,0.18,0.24,0.58,-19.015438,29.154857,187.70
